    Target   Comparison1   Comparison2  AlexNet_finetuned_conv1  AlexNet_finetuned_conv2  AlexNet_finetuned_conv3  AlexNet_finetuned_conv4  AlexNet_finetuned_conv5  AlexNet_finetuned_fc6  AlexNet_finetuned_fc7  AlexNet_finetuned_fc8_blocks  AlexNet_finetuned_norm1  AlexNet_finetuned_norm2  AlexNet_finetuned_pool1  AlexNet_finetuned_pool2  AlexNet_finetuned_pool5  AlexNet_finetuned_prob
25      o1   o1_t2_mf_d2   o1_t2_rp_d1                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       1
26      o1   o1_t2_mf_d2   o1_t2_rp_d2                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       1
27      o1   o1_t2_rp_d1   o1_t2_rp_d2                        1                        1                        1                        1                        1                      1                      1                             0                        1                        1                        1                        1                        1                       1
28     o10  o10_t1_cs_d1  o10_t1_cs_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       1
29     o10  o10_t1_cs_d1  o10_t2_ap_d1                        0                        0                        0                        0                        0                      0                      1                             1                        0                        0                        0                        0                        0                       1
30     o10  o10_t1_cs_d1  o10_t2_ap_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
31     o10  o10_t1_cs_d1  o10_t2_mf_d1                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       1
32     o10  o10_t1_cs_d1  o10_t2_mf_d2                        0                        0                        0                        0                        0                      1                      1                             1                        0                        0                        0                        0                        0                       1
33     o10  o10_t1_cs_d1  o10_t2_rp_d1                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
34     o10  o10_t1_cs_d1  o10_t2_rp_d2                        0                        0                        0                        0                        0                      1                      1                             1                        0                        0                        0                        0                        0                       1
35     o10  o10_t1_cs_d2  o10_t2_ap_d1                        0                        0                        0                        0                        1                      1                      1                             1                        0                        0                        0                        0                        0                       1
36     o10  o10_t1_cs_d2  o10_t2_ap_d2                        1                        0                        0                        0                        0                      1                      1                             1                        0                        0                        0                        0                        0                       0
37     o10  o10_t1_cs_d2  o10_t2_mf_d1                        0                        0                        0                        0                        0                      0                      1                             1                        0                        0                        0                        0                        0                       1
38     o10  o10_t1_cs_d2  o10_t2_mf_d2                        0                        1                        0                        1                        1                      1                      1                             1                        0                        0                        0                        1                        1                       1
39     o10  o10_t1_cs_d2  o10_t2_rp_d1                        1                        1                        1                        1                        0                      1                      1                             1                        1                        1                        1                        1                        0                       0
40     o10  o10_t1_cs_d2  o10_t2_rp_d2                        0                        0                        0                        0                        1                      1                      1                             1                        0                        0                        0                        0                        1                       1
41     o10  o10_t2_ap_d1  o10_t2_ap_d2                        1                        1                        1                        1                        0                      0                      0                             0                        1                        1                        1                        0                        0                       0
42     o10  o10_t2_ap_d1  o10_t2_mf_d1                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       1
43     o10  o10_t2_ap_d1  o10_t2_mf_d2                        0                        1                        1                        1                        1                      1                      1                             0                        1                        1                        1                        1                        1                       0
44     o10  o10_t2_ap_d1  o10_t2_rp_d1                        1                        1                        1                        1                        0                      0                      0                             0                        1                        1                        1                        1                        1                       0
45     o10  o10_t2_ap_d1  o10_t2_rp_d2                        0                        1                        1                        1                        1                      1                      1                             0                        1                        1                        0                        1                        1                       0
46     o10  o10_t2_ap_d2  o10_t2_mf_d1                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       1
47     o10  o10_t2_ap_d2  o10_t2_mf_d2                        0                        1                        1                        1                        1                      1                      1                             1                        1                        1                        0                        1                        1                       1
48     o10  o10_t2_ap_d2  o10_t2_rp_d1                        0                        1                        1                        1                        1                      0                      0                             0                        1                        1                        1                        1                        1                       0
49     o10  o10_t2_ap_d2  o10_t2_rp_d2                        0                        0                        0                        0                        1                      1                      1                             1                        0                        1                        0                        1                        1                       1
50     o10  o10_t2_mf_d1  o10_t2_mf_d2                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       0
51     o10  o10_t2_mf_d1  o10_t2_rp_d1                        1                        1                        1                        1                        1                      1                      0                             0                        1                        1                        1                        1                        1                       0
52     o10  o10_t2_mf_d1  o10_t2_rp_d2                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       0
53     o10  o10_t2_mf_d2  o10_t2_rp_d1                        1                        1                        1                        1                        0                      0                      0                             0                        1                        1                        1                        1                        0                       0
54     o10  o10_t2_mf_d2  o10_t2_rp_d2                        0                        0                        0                        0                        0                      1                      1                             0                        0                        0                        0                        0                        0                       1
55     o10  o10_t2_rp_d1  o10_t2_rp_d2                        0                        0                        0                        0                        1                      1                      1                             1                        0                        0                        0                        0                        1                       1
56      o2   o2_t1_cs_d1   o2_t1_cs_d2                        0                        1                        0                        1                        1                      1                      1                             1                        0                        0                        0                        0                        1                       1
57      o2   o2_t1_cs_d1   o2_t2_ap_d1                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       1
58      o2   o2_t1_cs_d1   o2_t2_ap_d2                        1                        1                        1                        1                        1                      0                      0                             0                        1                        1                        1                        1                        1                       1
59      o2   o2_t1_cs_d1   o2_t2_mf_d1                        0                        1                        1                        1                        1                      1                      1                             1                        1                        0                        0                        0                        1                       1
60      o2   o2_t1_cs_d1   o2_t2_mf_d2                        0                        0                        0                        0                        1                      0                      0                             0                        0                        0                        0                        0                        1                       1
61      o2   o2_t1_cs_d1   o2_t2_rp_d1                        0                        0                        0                        0                        0                      1                      1                             1                        0                        0                        0                        0                        0                       1
62      o2   o2_t1_cs_d1   o2_t2_rp_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       1
63      o2   o2_t1_cs_d2   o2_t2_ap_d1                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
64      o2   o2_t1_cs_d2   o2_t2_ap_d2                        1                        1                        1                        1                        0                      0                      0                             0                        1                        1                        1                        1                        0                       0
65      o2   o2_t1_cs_d2   o2_t2_mf_d1                        0                        1                        1                        1                        0                      0                      1                             1                        1                        1                        0                        1                        0                       0
66      o2   o2_t1_cs_d2   o2_t2_mf_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       1
67      o2   o2_t1_cs_d2   o2_t2_rp_d1                        0                        0                        0                        0                        0                      0                      1                             1                        0                        0                        0                        0                        0                       0
68      o2   o2_t1_cs_d2   o2_t2_rp_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
69      o2   o2_t2_ap_d1   o2_t2_ap_d2                        1                        1                        1                        1                        1                      1                      0                             1                        1                        1                        1                        1                        1                       0
70      o2   o2_t2_ap_d1   o2_t2_mf_d1                        0                        1                        1                        1                        1                      1                      1                             1                        1                        1                        0                        1                        1                       1
71      o2   o2_t2_ap_d1   o2_t2_mf_d2                        0                        1                        1                        1                        1                      1                      1                             1                        1                        1                        0                        1                        1                       1
72      o2   o2_t2_ap_d1   o2_t2_rp_d1                        0                        0                        1                        1                        1                      1                      1                             1                        1                        1                        0                        1                        1                       1
73      o2   o2_t2_ap_d1   o2_t2_rp_d2                        0                        0                        0                        0                        0                      0                      0                             1                        0                        0                        0                        0                        0                       1
74      o2   o2_t2_ap_d2   o2_t2_mf_d1                        0                        0                        0                        0                        0                      1                      1                             1                        0                        0                        0                        0                        1                       1
75      o2   o2_t2_ap_d2   o2_t2_mf_d2                        0                        0                        0                        0                        0                      1                      1                             1                        0                        0                        0                        0                        0                       1
76      o2   o2_t2_ap_d2   o2_t2_rp_d1                        0                        0                        0                        0                        0                      1                      1                             1                        0                        0                        0                        0                        0                       1
77      o2   o2_t2_ap_d2   o2_t2_rp_d2                        0                        0                        0                        0                        0                      0                      0                             1                        0                        0                        0                        0                        0                       1
78      o2   o2_t2_mf_d1   o2_t2_mf_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       1
79      o2   o2_t2_mf_d1   o2_t2_rp_d1                        0                        0                        0                        0                        0                      0                      0                             1                        0                        0                        0                        0                        0                       1
80      o2   o2_t2_mf_d1   o2_t2_rp_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
81      o2   o2_t2_mf_d2   o2_t2_rp_d1                        0                        0                        0                        0                        0                      1                      1                             1                        0                        0                        0                        0                        0                       0
82      o2   o2_t2_mf_d2   o2_t2_rp_d2                        0                        0                        0                        0                        0                      0                      0                             1                        0                        0                        0                        0                        0                       0
83      o2   o2_t2_rp_d1   o2_t2_rp_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
84      o3   o3_t1_cs_d1   o3_t1_cs_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       1
85      o3   o3_t1_cs_d1   o3_t2_ap_d1                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       1
86      o3   o3_t1_cs_d1   o3_t2_ap_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       1
87      o3   o3_t1_cs_d1   o3_t2_mf_d1                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       1
88      o3   o3_t1_cs_d1   o3_t2_mf_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
89      o3   o3_t1_cs_d1   o3_t2_rp_d1                        1                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
90      o3   o3_t1_cs_d1   o3_t2_rp_d2                        1                        1                        0                        0                        0                      0                      0                             0                        1                        0                        1                        0                        0                       1
91      o3   o3_t1_cs_d2   o3_t2_ap_d1                        0                        0                        1                        1                        1                      1                      1                             1                        1                        1                        0                        1                        1                       1
92      o3   o3_t1_cs_d2   o3_t2_ap_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
93      o3   o3_t1_cs_d2   o3_t2_mf_d1                        0                        0                        0                        0                        1                      0                      0                             0                        0                        0                        0                        0                        0                       0
94      o3   o3_t1_cs_d2   o3_t2_mf_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
95      o3   o3_t1_cs_d2   o3_t2_rp_d1                        1                        0                        0                        0                        0                      0                      0                             1                        0                        0                        1                        0                        0                       0
96      o3   o3_t1_cs_d2   o3_t2_rp_d2                        1                        1                        1                        1                        1                      0                      0                             1                        1                        1                        1                        1                        0                       1
97      o3   o3_t2_ap_d1   o3_t2_ap_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
98      o3   o3_t2_ap_d1   o3_t2_mf_d1                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
99      o3   o3_t2_ap_d1   o3_t2_mf_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
100     o3   o3_t2_ap_d1   o3_t2_rp_d1                        1                        0                        0                        0                        0                      0                      0                             0                        0                        0                        1                        0                        0                       0
101     o3   o3_t2_ap_d1   o3_t2_rp_d2                        1                        1                        1                        1                        0                      0                      0                             0                        1                        0                        1                        0                        0                       0
102     o3   o3_t2_ap_d2   o3_t2_mf_d1                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       1
103     o3   o3_t2_ap_d2   o3_t2_mf_d2                        0                        1                        0                        0                        0                      1                      0                             0                        0                        1                        0                        1                        0                       0
104     o3   o3_t2_ap_d2   o3_t2_rp_d1                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        0                        0                       0
105     o3   o3_t2_ap_d2   o3_t2_rp_d2                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       1
106     o3   o3_t2_mf_d1   o3_t2_mf_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
107     o3   o3_t2_mf_d1   o3_t2_rp_d1                        1                        1                        0                        0                        0                      0                      1                             1                        1                        0                        1                        0                        0                       0
108     o3   o3_t2_mf_d1   o3_t2_rp_d2                        1                        1                        1                        1                        1                      0                      1                             1                        1                        1                        1                        1                        0                       1
109     o3   o3_t2_mf_d2   o3_t2_rp_d1                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        0                        1                       0
110     o3   o3_t2_mf_d2   o3_t2_rp_d2                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       1
111     o3   o3_t2_rp_d1   o3_t2_rp_d2                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       1
112     o4   o4_t1_cs_d1   o4_t1_cs_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
113     o4   o4_t1_cs_d1   o4_t2_ap_d1                        1                        0                        1                        1                        1                      1                      1                             1                        0                        1                        1                        0                        1                       1
114     o4   o4_t1_cs_d1   o4_t2_ap_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
115     o4   o4_t1_cs_d1   o4_t2_mf_d1                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
116     o4   o4_t1_cs_d1   o4_t2_mf_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
117     o4   o4_t1_cs_d1   o4_t2_rp_d1                        0                        0                        0                        0                        0                      0                      1                             1                        0                        0                        0                        0                        0                       0
118     o4   o4_t1_cs_d1   o4_t2_rp_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
119     o4   o4_t1_cs_d2   o4_t2_ap_d1                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       1
120     o4   o4_t1_cs_d2   o4_t2_ap_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
121     o4   o4_t1_cs_d2   o4_t2_mf_d1                        1                        1                        1                        1                        1                      1                      1                             0                        1                        1                        1                        1                        1                       1
122     o4   o4_t1_cs_d2   o4_t2_mf_d2                        1                        1                        1                        1                        1                      1                      0                             0                        1                        1                        1                        1                        1                       0
123     o4   o4_t1_cs_d2   o4_t2_rp_d1                        0                        0                        0                        0                        0                      1                      1                             1                        0                        0                        0                        0                        0                       1
124     o4   o4_t1_cs_d2   o4_t2_rp_d2                        0                        1                        1                        1                        1                      0                      1                             1                        1                        0                        0                        0                        0                       1
125     o4   o4_t2_ap_d1   o4_t2_ap_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
126     o4   o4_t2_ap_d1   o4_t2_mf_d1                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
127     o4   o4_t2_ap_d1   o4_t2_mf_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
128     o4   o4_t2_ap_d1   o4_t2_rp_d1                        0                        0                        0                        0                        0                      0                      1                             1                        0                        0                        0                        0                        0                       0
129     o4   o4_t2_ap_d1   o4_t2_rp_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
130     o4   o4_t2_ap_d2   o4_t2_mf_d1                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       1
131     o4   o4_t2_ap_d2   o4_t2_mf_d2                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       0
132     o4   o4_t2_ap_d2   o4_t2_rp_d1                        0                        0                        1                        1                        1                      1                      1                             1                        0                        0                        0                        1                        1                       1
133     o4   o4_t2_ap_d2   o4_t2_rp_d2                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       1
134     o4   o4_t2_mf_d1   o4_t2_mf_d2                        1                        1                        1                        1                        0                      1                      0                             0                        1                        1                        1                        1                        0                       0
135     o4   o4_t2_mf_d1   o4_t2_rp_d1                        0                        0                        0                        0                        0                      1                      1                             1                        0                        0                        0                        0                        0                       0
136     o4   o4_t2_mf_d1   o4_t2_rp_d2                        0                        0                        0                        0                        0                      0                      1                             1                        0                        0                        0                        0                        0                       1
137     o4   o4_t2_mf_d2   o4_t2_rp_d1                        0                        0                        0                        0                        0                      1                      1                             1                        0                        0                        0                        0                        0                       1
138     o4   o4_t2_mf_d2   o4_t2_rp_d2                        0                        0                        0                        0                        0                      0                      1                             1                        0                        0                        0                        0                        0                       1
139     o4   o4_t2_rp_d1   o4_t2_rp_d2                        1                        1                        1                        1                        1                      0                      0                             0                        1                        1                        1                        1                        1                       1
140     o5   o5_t1_cs_d1   o5_t1_cs_d2                        1                        1                        1                        1                        1                      1                      0                             0                        1                        1                        1                        1                        1                       0
141     o5   o5_t1_cs_d1   o5_t2_ap_d1                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
142     o5   o5_t1_cs_d1   o5_t2_ap_d2                        1                        0                        0                        0                        0                      0                      0                             0                        0                        0                        1                        0                        0                       0
143     o5   o5_t1_cs_d1   o5_t2_mf_d1                        0                        0                        1                        1                        1                      1                      1                             1                        0                        1                        0                        0                        1                       1
144     o5   o5_t1_cs_d1   o5_t2_mf_d2                        1                        1                        1                        1                        1                      1                      0                             0                        1                        1                        1                        1                        1                       0
145     o5   o5_t1_cs_d1   o5_t2_rp_d1                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
146     o5   o5_t1_cs_d1   o5_t2_rp_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
147     o5   o5_t1_cs_d2   o5_t2_ap_d1                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
148     o5   o5_t1_cs_d2   o5_t2_ap_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       1
149     o5   o5_t1_cs_d2   o5_t2_mf_d1                        0                        0                        0                        0                        0                      1                      1                             1                        0                        0                        0                        0                        0                       1
150     o5   o5_t1_cs_d2   o5_t2_mf_d2                        0                        1                        1                        1                        0                      1                      1                             0                        0                        1                        0                        1                        0                       1
151     o5   o5_t1_cs_d2   o5_t2_rp_d1                        0                        0                        0                        0                        0                      0                      1                             1                        0                        0                        0                        0                        0                       1
152     o5   o5_t1_cs_d2   o5_t2_rp_d2                        0                        0                        0                        0                        0                      0                      1                             1                        0                        0                        0                        0                        0                       1
153     o5   o5_t2_ap_d1   o5_t2_ap_d2                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       1
154     o5   o5_t2_ap_d1   o5_t2_mf_d1                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       1
155     o5   o5_t2_ap_d1   o5_t2_mf_d2                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       1
156     o5   o5_t2_ap_d1   o5_t2_rp_d1                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       1
157     o5   o5_t2_ap_d1   o5_t2_rp_d2                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       1
158     o5   o5_t2_ap_d2   o5_t2_mf_d1                        0                        1                        1                        1                        1                      1                      1                             1                        0                        1                        0                        1                        1                       1
159     o5   o5_t2_ap_d2   o5_t2_mf_d2                        1                        1                        1                        1                        1                      1                      1                             0                        1                        1                        1                        1                        1                       0
160     o5   o5_t2_ap_d2   o5_t2_rp_d1                        0                        0                        0                        0                        0                      1                      1                             1                        0                        0                        0                        0                        0                       0
161     o5   o5_t2_ap_d2   o5_t2_rp_d2                        0                        0                        0                        0                        0                      0                      1                             1                        0                        0                        0                        0                        0                       0
162     o5   o5_t2_mf_d1   o5_t2_mf_d2                        1                        1                        1                        1                        1                      0                      0                             0                        1                        1                        1                        1                        0                       0
163     o5   o5_t2_mf_d1   o5_t2_rp_d1                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
164     o5   o5_t2_mf_d1   o5_t2_rp_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
165     o5   o5_t2_mf_d2   o5_t2_rp_d1                        0                        0                        0                        0                        0                      0                      1                             1                        0                        0                        0                        0                        0                       1
166     o5   o5_t2_mf_d2   o5_t2_rp_d2                        0                        0                        0                        0                        0                      0                      0                             1                        0                        0                        0                        0                        0                       1
167     o5   o5_t2_rp_d1   o5_t2_rp_d2                        0                        1                        1                        1                        1                      0                      0                             0                        1                        1                        0                        1                        1                       1
168     o6   o6_t1_cs_d1   o6_t1_cs_d2                        1                        1                        1                        1                        1                      1                      1                             0                        1                        1                        1                        1                        1                       0
169     o6   o6_t1_cs_d1   o6_t2_ap_d1                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       1
170     o6   o6_t1_cs_d1   o6_t2_ap_d2                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       0
171     o6   o6_t1_cs_d1   o6_t2_mf_d1                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       1
172     o6   o6_t1_cs_d1   o6_t2_mf_d2                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       0
173     o6   o6_t1_cs_d1   o6_t2_rp_d1                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       0
174     o6   o6_t1_cs_d1   o6_t2_rp_d2                        0                        0                        0                        0                        0                      1                      0                             0                        0                        0                        0                        0                        0                       0
175     o6   o6_t1_cs_d2   o6_t2_ap_d1                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       1
176     o6   o6_t1_cs_d2   o6_t2_ap_d2                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       1
177     o6   o6_t1_cs_d2   o6_t2_mf_d1                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       1
178     o6   o6_t1_cs_d2   o6_t2_mf_d2                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       1
179     o6   o6_t1_cs_d2   o6_t2_rp_d1                        0                        1                        1                        1                        1                      1                      1                             1                        0                        1                        1                        1                        1                       1
180     o6   o6_t1_cs_d2   o6_t2_rp_d2                        0                        0                        0                        0                        0                      0                      0                             1                        0                        0                        0                        0                        0                       1
181     o6   o6_t2_ap_d1   o6_t2_ap_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
182     o6   o6_t2_ap_d1   o6_t2_mf_d1                        0                        1                        0                        1                        1                      1                      1                             1                        1                        0                        1                        0                        1                       1
183     o6   o6_t2_ap_d1   o6_t2_mf_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
184     o6   o6_t2_ap_d1   o6_t2_rp_d1                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
185     o6   o6_t2_ap_d1   o6_t2_rp_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
186     o6   o6_t2_ap_d2   o6_t2_mf_d1                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       1
187     o6   o6_t2_ap_d2   o6_t2_mf_d2                        0                        1                        1                        0                        1                      1                      1                             1                        0                        0                        1                        0                        0                       0
188     o6   o6_t2_ap_d2   o6_t2_rp_d1                        0                        0                        0                        0                        0                      1                      1                             1                        0                        0                        0                        0                        0                       1
189     o6   o6_t2_ap_d2   o6_t2_rp_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
